,tconst,title,genre1,numVotes,startYear,runtimeMinutes,averageRating,url,pays_prod,sypnosis,reco1,reco2,reco3,reco4,trailer_embed_url,complete_movie_embed_url
21,tt0077775,Le dieu éléphant,Adventure,1928,1979.0,112.0,8.1,https://m.media-amazon.com/images/M/MV5BOWQ4MDE5YWUtZjAwNi00N2YyLTg1N2MtMWVlNDU3OGUxNmZlXkEyXkFqcGdeQXVyNTgyNTA4MjM@.jpg,['India'],"This is the second film about the detective Feluda (Soumitra Chatterjee) set in the holy city of Benares, where he (along with his cousin, Topshe and friend, Lalmohan Ganguly) goes for a holiday. But the theft of a priceless deity of Lord Ganesh (the Elephant God) from a local household forces him to start investigation. Feluda comes in direct confrontation with Maganlal Meghraj (Utpal Dutt), a ruthless trader. Maganlal makes the mild-mannered Lalmohan a knife-thrower's target and threatens Felu to stop investigation. But there are several other suspects as an innocent artisan is brutally murdered, a shady 'holy man' holds court on the banks of the Ganges and an adventure-loving little boy (and his grand-father), brought up on crime thrillers. The climax is a shoot-out on the Ganges, followed by the unraveling of the mystery.::Diptakirti Chaudhuri""]",tt0049096,tt0095800,tt3778756,tt0028691,,https://Trailers.to/player/embed/imdb/tt0077775
22,tt0014733,L'enfant des Flandres,Drama,24,1924.0,70.0,8.1,https://m.media-amazon.com/images/M/MV5BODk1MTcwNWItZWIxNC00OGI5LTg5NzEtOWI5ZjA3ZWIwNDJkXkEyXkFqcGdeQXVyMjU4NzU2OTA@.jpg,['United States'],"Nello saves the life of a dog but returns home to find his grandfather dead. Living under a haystack, he enters a drawing contest and wins the prize and the affections of a fellow artist, who adopts him.']",tt0034461,tt0156414,tt0029992,tt1272016,,https://Trailers.to/player/embed/imdb/tt0014733
23,tt3778756,Enfances nomades,Adventure,15,2014.0,94.0,8.1,https://m.media-amazon.com/images/M/MV5BYTA3YjMwYWYtZTRjMS00MzE3LTkxNjYtMGIxNjY3ZGRjNTIyXkEyXkFqcGdeQXVyNzg5OTk2OA@@.jpg,"['France', 'Russia', 'Mongolia', 'India']","3 stories, 3 countries. Tibet, Mongolia, Siberia. Nomad children fill a hostile world with their wishes and their dreams. At major cross-roads in their lives, they are confronted by love, danger and death.']",tt0095800,tt0077775,tt0079588,tt0070832,,https://Trailers.to/player/embed/imdb/tt3778756
24,tt0032138,Le magicien d'Oz,Adventure,381047,1939.0,102.0,8.0,https://m.media-amazon.com/images/M/MV5BNjUyMTc4MDExMV5BMl5BanBnXkFtZTgwNDg0NDIwMjE@.jpg,['United States'],"Young Dorothy Gale and her dog are swept away by a tornado from their Kansas farm to the magical Land of Oz, and embark on a quest with three new friends to see the Wizard, who can return her to her home and fulfill the others' wishes.",tt0093779,tt0089218,tt0486655,tt0088323,https://www.youtube.com/embed/Uqfj0Rq1QuI,https://Trailers.to/player/embed/imdb/tt0032138
25,tt0059742,La mélodie du bonheur,Biography,217280,1965.0,172.0,8.0,https://m.media-amazon.com/images/M/MV5BODIxNjhkYjEtYzUyMi00YTNjLWE1YjktNjAyY2I2MWNkNmNmL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@.jpg,['United States'],A young novitiate is sent by her convent in 1930s Austria to become a governess to the seven children of a widowed naval officer,tt0052738,tt0308644,tt0132477,tt0048337,https://www.youtube.com/embed/UY6uw3WpPzY,https://Trailers.to/player/embed/imdb/tt0059742
26,tt2543472,Wonder,Drama,154287,2017.0,113.0,8.0,https://m.media-amazon.com/images/M/MV5BYjFhOWY0OTgtNDkzMC00YWJkLTk1NGEtYWUxNjhmMmQ5ZjYyXkEyXkFqcGdeQXVyMjMxOTE0ODA@.jpg,"['United States', 'Hong Kong', 'Canada']","Based on the New York Times bestseller, this movie tells the incredibly inspiring and heartwarming story of August Pullman, a boy with facial differences who enters the fifth grade, attending a mainstream elementary school for the first time",tt0476735,tt7596784,tt0997246,tt1874522,https://www.youtube.com/embed/Cp95gWHVejo,https://Trailers.to/player/embed/imdb/tt2543472
27,tt0067093,Un violon sur le toit,Drama,41645,1971.0,181.0,8.0,https://m.media-amazon.com/images/M/MV5BMWMxNDYzNmUtYjFmNC00MGM2LWFmNzMtODhlMGNkNDg5MjE5XkEyXkFqcGdeQXVyNjE5MjUyOTM@.jpg,['United States'],"In pre-revolutionary Russia, a Jewish peasant with traditional values contends with marrying off three of his daughters with modern romantic ideals while growing anti-Semitic sentiment threatens his village",tt0058385,tt0420332,tt0242392,tt0063385,https://www.youtube.com/embed/UieGzlgX70s,https://Trailers.to/player/embed/imdb/tt0067093
28,tt0028691,Capitaines courageux,Adventure,9360,1937.0,117.0,8.0,https://m.media-amazon.com/images/M/MV5BODI5NjhiNjktYzhkNi00ODFkLTg0NTgtZDQ2M2E5ZTY2ZGM0XkEyXkFqcGdeQXVyMDI2NDg0NQ@@.jpg,['United States'],"A spoiled brat who falls overboard from a steamship in the 1920s gets picked up by a New England fishing boat, where he's made to earn his keep by joining the crew in their work.",tt0049096,tt0033152,tt0077775,tt0015400,https://www.youtube.com/embed/kriAJxONB2w,https://Trailers.to/player/embed/imdb/tt0028691
29,tt0035238,Prisonniers du passé,Drama,7393,1942.0,126.0,8.0,https://m.media-amazon.com/images/M/MV5BZTkwYzM4MDktZjljMy00NTNmLTgwZTMtNGNmMGRiZjE3NjRlXkEyXkFqcGdeQXVyMjA0MzYwMDY@.jpg,['United States'],"An amnesiac World War I veteran falls in love with a music hall star, only to suffer an accident which restores his original memories but erases his post-war life",tt0040458,tt0033729,tt0064541,tt0037963,https://www.youtube.com/embed/P12UUGhe_mQ,https://Trailers.to/player/embed/imdb/tt0035238
30,tt0046799,Le petit cireur,Comedy,817,1954.0,149.0,8.0,https://m.media-amazon.com/images/M/MV5BODZiMjVlYTgtZTMzMy00NDEyLWE2NmYtY2U5YmUyNjc3NTMwXkEyXkFqcGdeQXVyNDUzOTQ5MjY@.jpg,['India'],"Preteen brother and sister, abandoned by their father, to be taken care of, by an abusive prostitute aunt, survive life in an Indian squatters' camp, aided by a friendly cripple, by learning to shine shoes instead of begging.",tt0056262,tt0058331,tt0037059,tt2181931,,https://Trailers.to/player/embed/imdb/tt0046799
