,tconst,title,genre1,numVotes,startYear,runtimeMinutes,averageRating,url,pays_prod,synopsis,reco1,reco2,reco3,reco4,trailer_embed_url,complete_movie_embed_url
81,tt1119646,Very Bad Trip,Comedy,746954.0,2009.0,100.0,7.7,https://m.media-amazon.com/images/M/MV5BNGQwZjg5YmYtY2VkNC00NzliLTljYTctNzI5NmU3MjE2ODQzXkEyXkFqcGdeQXVyNzkwMjQ5NzM@.jpg,"['United States', 'Germany']","Three buddies wake up from a bachelor party in Las Vegas, with no memory of the previous night and the bachelor missing. They make their way around the city in order to find their friend before his wedding",tt1022603,tt0815241,tt1306980,tt1605783,https://www.youtube.com/embed/ZdIS6a1WQQs,https://Trailers.to/player/embed/imdb/tt1119646
82,tt1205489,Gran Torino,Drama,745532.0,2008.0,116.0,8.1,https://m.media-amazon.com/images/M/MV5BMTc5NTk2OTU1Nl5BMl5BanBnXkFtZTcwMDc3NjAwMg@@.jpg,"['Germany', 'United States']","Disgruntled Korean War veteran Walt Kowalski sets out to reform his neighbor, Thao Lor, a Hmong teenager who tried to steal Kowalski's prized possession: a 1972 Gran Torino.",tt1010048,tt1360860,tt0457430,tt0476735,https://www.youtube.com/embed/vLkBUix_D3U,https://Trailers.to/player/embed/imdb/tt1205489
83,tt0121766,Star Wars : Épisode III - La Revanche des Sith,Action,741676.0,2005.0,140.0,7.5,https://m.media-amazon.com/images/M/MV5BNTc4MTc3NTQ5OF5BMl5BanBnXkFtZTcwOTg0NjI4NA@@.jpg,['United States'],"Three years into the Clone Wars, the Jedi rescue Palpatine from Count Dooku. As Obi-Wan pursues a new threat, Anakin acts as a double agent between the Jedi Council and Palpatine and is lured into a sinister plan to rule the galaxy",tt0373889,tt0316356,tt0311113,tt0290334,https://www.youtube.com/embed/5UnjrG_N8hU,https://Trailers.to/player/embed/imdb/tt0121766
84,tt0145487,Spider-Man,Action,730785.0,2002.0,121.0,7.3,https://m.media-amazon.com/images/M/MV5BZDEyN2NhMjgtMjdhNi00MmNlLWE5YTgtZGE4MzNjMTRlMGEwXkEyXkFqcGdeQXVyNDUyOTg3Njg@.jpg,['United States'],"When bitten by a genetically modified spider, a nerdy, shy, and awkward high school student gains spider-like abilities that he eventually must use to fight evil as a superhero after tragedy befalls his family",tt0362270,tt0316654,tt0286112,tt0390022,https://www.youtube.com/embed/Ozz8uxW733Q,https://Trailers.to/player/embed/imdb/tt0145487
85,tt0211915,Amélie des Abbesses,Comedy,728140.0,2001.0,122.0,8.3,https://m.media-amazon.com/images/M/MV5BNDg4NjM1YjMtYmNhZC00MjM0LWFiZmYtNGY1YjA3MzZmODc5XkEyXkFqcGdeQXVyNDk3NzU2MTQ@.jpg,"['France', 'Germany']","Amélie is an innocent and naive girl in Paris with her own sense of justice. She decides to help those around her and, along the way, discovers love",tt0118715,tt0118843,tt0208092,tt0118799,https://www.youtube.com/embed/HUECWi5pX7o,https://Trailers.to/player/embed/imdb/tt0211915
86,tt0947798,Black Swan,Drama,727864.0,2010.0,108.0,8.0,https://m.media-amazon.com/images/M/MV5BNzY2NzI4OTE5MF5BMl5BanBnXkFtZTcwMjMyNDY4Mw@@.jpg,['United States'],"A committed dancer struggles to maintain her sanity after winning the lead role in a production of Tchaikovsky\'s ""Swan Lake""",tt1125849,tt1659337,tt2209418,tt1360860,https://www.youtube.com/embed/5jaI1XOB-bs,https://Trailers.to/player/embed/imdb/tt0947798
87,tt0317248,La cité de Dieu,Crime,725248.0,2002.0,130.0,8.6,https://m.media-amazon.com/images/M/MV5BOTMwYjc5ZmItYTFjZC00ZGQ3LTlkNTMtMjZiNTZlMWQzNzI5XkEyXkFqcGdeQXVyNzkwMjQ5NzM@.jpg,"['Brazil', 'France', 'Germany']","In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.",tt0114369,tt0407887,tt0119488,tt0116231,https://www.youtube.com/embed/_mDvXaRJcTM,https://Trailers.to/player/embed/imdb/tt0317248
88,tt2084970,Imitation Game,Biography,722526.0,2014.0,114.0,8.0,https://m.media-amazon.com/images/M/MV5BOTgwMzFiMWYtZDhlNS00ODNkLWJiODAtZDVhNzgyNzJhYjQ4L2ltYWdlXkEyXkFqcGdeQXVyNzEzOTYxNTQ@.jpg,"['United Kingdom', 'United States']","During World War II, the English mathematical genius Alan Turing tries to crack the German Enigma code with help from fellow mathematicians while attempting to come to terms with his troubled private life",tt2084970,tt0790636,tt3741834,tt1504320,https://www.youtube.com/embed/j2jRs4EAvWM,https://Trailers.to/player/embed/imdb/tt2084970
89,tt0378194,Kill Bill: Volume II,Action,717989.0,2004.0,137.0,8.0,https://m.media-amazon.com/images/M/MV5BNmFiYmJmN2QtNWQwMi00MzliLThiOWMtZjQxNGRhZTQ1MjgyXkEyXkFqcGdeQXVyNzQ1ODk3MTQ@.jpg,['United States'],"The Bride continues her quest of vengeance against her former boss and lover Bill, the reclusive bouncer Budd, and the treacherous, one-eyed Elle",tt0386064,tt0325980,tt0434409,tt0381061,https://www.youtube.com/embed/WTt8cCIvGYI,https://Trailers.to/player/embed/imdb/tt0378194
90,tt0480249,Je suis une légende,Action,717397.0,2007.0,101.0,7.2,https://m.media-amazon.com/images/M/MV5BYTE1ZTBlYzgtNmMyNS00ZTQ2LWE4NjEtZjUxNDJkNTg2MzlhXkEyXkFqcGdeQXVyNjU0OTQ0OTY@.jpg,['United States'],"Years after a plague kills most of humanity and transforms the rest into monsters, the sole survivor in New York City struggles valiantly to find a cure",tt0385700,tt1289406,tt0479143,tt1149361,https://www.youtube.com/embed/dtKMEAXyPkg,https://Trailers.to/player/embed/imdb/tt0480249
91,tt3498820,Captain America: Civil War,Action,715261.0,2016.0,147.0,7.8,https://m.media-amazon.com/images/M/MV5BMjQ0MTgyNjAxMV5BMl5BanBnXkFtZTgwNjUzMDkyODE@.jpg,['United States'],Political involvement in the Avengers' affairs causes a rift between Captain America and Iron Man.,tt4912910,tt2488496,tt3447364,tt1074638,https://www.youtube.com/embed/bPNBKT6JLSU,https://Trailers.to/player/embed/imdb/tt3498820
92,tt0241527,Harry Potter à l'école des sorciers,Adventure,705794.0,2001.0,152.0,7.6,https://m.media-amazon.com/images/M/MV5BNjQ3NWNlNmQtMTE5ZS00MDdmLTlkZjUtZTBlM2UxMGFiMTU3XkEyXkFqcGdeQXVyNjUwNzk3NDc@.jpg,"['United Kingdom', 'United States']","An orphaned boy enrolls in a school of wizardry, where he learns the truth about himself, his family and the terrible evil that haunts the magical world",tt0330373,tt0295297,tt0162222,tt0112384,https://www.youtube.com/embed/NBClQpIsEXk,https://Trailers.to/player/embed/imdb/tt0241527
