,tconst,title,genre1,numVotes,startYear,runtimeMinutes,averageRating,url,pays_prod,sypnosis,reco1,reco2,reco3,reco4,trailer_embed_url,complete_movie_embed_url
86,tt0100814,Tremors,Comedy,130171,1990.0,96.0,7.1,https://m.media-amazon.com/images/M/MV5BMTEzNjkwMzIyMjZeQTJeQWpwZ15BbWU4MDI2NTU5ODYx.jpg,['United States'],Natives of a small isolated town defend themselves against strange underground creatures which are killing them one by one,tt0091419,tt0088993,tt0113409,tt0109592,https://www.youtube.com/embed/hpCSCQJEmnk,https://Trailers.to/player/embed/imdb/tt0100814
87,tt1228987,Laisse-moi entrer,Drama,117029,2010.0,116.0,7.1,https://m.media-amazon.com/images/M/MV5BNDQ4MjQ4OTMwMF5BMl5BanBnXkFtZTcwOTYzNDc4Mw@@.jpg,"['United Kingdom', 'United States']",A bullied young boy befriends a young female vampire who lives in secrecy with her guardian,tt0884328,tt0298130,tt0365376,tt1646959,https://www.youtube.com/embed/reRRAEVHq8E,https://Trailers.to/player/embed/imdb/tt1228987
88,tt0468492,The Host,Action,115469,2006.0,120.0,7.1,https://m.media-amazon.com/images/M/MV5BMTE3N2IwNmMtOGE0Ny00NWFlLTliNmUtNjY3ODExYjgxNmUyXkEyXkFqcGdeQXVyMTMxODk2OTU@.jpg,['South Korea'],A monster emerges from Seoul's Han River and begins attacking people. One victim's loving family does what it can to rescue her from its clutches.,tt0120611,tt0134847,tt0116367,tt0363547,https://www.youtube.com/embed/i6b42ZMkUcQ,https://Trailers.to/player/embed/imdb/tt0468492
89,tt2494362,Bone Tomahawk,Drama,94232,2015.0,132.0,7.1,https://m.media-amazon.com/images/M/MV5BMzQ0MzE4OTUzMF5BMl5BanBnXkFtZTgwODAyNzI3NjE@.jpg,"['United States', 'United Kingdom']","In the dying days of the old west, an elderly sheriff and his posse set out to rescue their town's doctor from cannibalistic cave dwellers.",tt0762073,tt1051906,tt11948256,tt0884328,,https://Trailers.to/player/embed/imdb/tt2494362
90,tt1029234,Martyrs,Horror,88750,2008.0,99.0,7.1,https://m.media-amazon.com/images/M/MV5BYTY0NTZlZjYtNWRmZi00MGRjLTk4ZDctMjE4NjBiZTUyNGNhXkEyXkFqcGdeQXVyMTQxNzMzNDI@.jpg,"['France', 'Canada']","A young woman's quest for revenge against the people who kidnapped and tormented her as a child leads her and a friend, who is also a victim of child abuse, on a terrifying journey into a living hell of depravity.",tt0440803,tt0435625,tt4160708,tt0178868,https://www.youtube.com/embed/7ifU8X8Ewqk,https://Trailers.to/player/embed/imdb/tt1029234
91,tt0116365,Fantômes contre fantômes,Comedy,85638,1996.0,110.0,7.1,https://m.media-amazon.com/images/M/MV5BNGZlN2Q2NmYtODdjNi00NjJlLWI5NzYtN2Y5NjIzYWUxOWU5XkEyXkFqcGdeQXVyMTQxNzMzNDI@.jpg,"['New Zealand', 'United States']","After a tragic car accident that kills his wife, a man discovers he can communicate with the dead to con people. However, when a demonic spirit appears, he may be the only one who can stop it from killing the living and the dead",tt0109592,tt0235198,tt0298130,tt0365376,https://www.youtube.com/embed/zmQxM32PWRM,https://Trailers.to/player/embed/imdb/tt0116365
92,tt0091419,La petite boutique des horreurs,Comedy,71454,1986.0,94.0,7.1,https://m.media-amazon.com/images/M/MV5BYzUxZDI3MjktZmM4YS00MzdjLWE5MzctMmI4M2ViMDgxMmUzXkEyXkFqcGdeQXVyNTAyODkwOQ@@.jpg,['United States'],A nerdy florist finds his chance for success and romance with the help of a giant man-eating plant who demands to be fed,tt0100814,tt0088993,tt0084899,tt0084777,https://www.youtube.com/embed/yNpbn4d5neY,https://Trailers.to/player/embed/imdb/tt0091419
93,tt0088993,Le jour des morts-vivants,Horror,66787,1985.0,101.0,7.1,https://m.media-amazon.com/images/M/MV5BNWVmMzlhZGYtMWRiOS00MGIwLTk5YTAtZGE4OTcyYjU3YzZmXkEyXkFqcGdeQXVyMTQxNzMzNDI@.jpg,['United States'],"As the world is overrun by zombies, a small group of scientists and military personnel dwelling in an underground bunker in Florida must determine whether they should educate, eliminate or escape the undead horde",tt0084777,tt0089175,tt0091419,tt0089885,https://www.youtube.com/embed/CJpfFV4Z09U,https://Trailers.to/player/embed/imdb/tt0088993
94,tt0089175,"Vampire, vous avez dit vampire ?",Fantasy,66336,1985.0,106.0,7.1,https://m.media-amazon.com/images/M/MV5BYTBlOTEzZjYtZTlmMC00OTYyLWIyMTAtNzMzZTRhNzU1YzAyL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@.jpg,['United States'],"A teenager discovers that the newcomer in his neighborhood is a vampire, so he turns to an actor in a television horror show for help dealing with the undead",tt0088993,tt0084777,tt0089885,tt0085407,https://www.youtube.com/embed/yfuIcuezkUw,https://Trailers.to/player/embed/imdb/tt0089175
95,tt0762073,"Thirst, ceci est mon sang...",Drama,45024,2009.0,134.0,7.1,https://m.media-amazon.com/images/M/MV5BYzA4MGVkNjMtYWI5NC00YTQwLWJkZTUtOTdjYmI5OGE4ZTUwL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@.jpg,"['South Korea', 'United States']","Through a failed medical experiment, a priest is stricken with vampirism and is forced to abandon his ascetic ways",tt0884328,tt2494362,tt1632547,tt3065204,https://www.youtube.com/embed/Pj5xmmQj-lk,https://Trailers.to/player/embed/imdb/tt0762073
96,tt0440803,Shutter,Horror,43416,2004.0,97.0,7.1,https://m.media-amazon.com/images/M/MV5BY2UzMzQyNTYtOWIwMC00M2RhLTkyZTMtMTYzYzFmNTRkODU4XkEyXkFqcGdeQXVyNTAyODkwOQ@@.jpg,['Thailand'],A young photographer and his girlfriend discover mysterious shadows in their photographs after a tragic accident. They soon learn that you can not escape your past,tt1029234,tt0435625,tt0178868,tt0123755,,https://Trailers.to/player/embed/imdb/tt0440803
97,tt10530176,The Call,Crime,26257,2020.0,112.0,7.1,https://m.media-amazon.com/images/M/MV5BMjlhYzY4ODQtYWY3ZS00NGUwLTk5NWYtYjBlMjUzMmNkZWU0XkEyXkFqcGdeQXVyMTA5NzUzODM4.jpg,['South Korea'],"Two people live in different times. Seo-Yeon lives in the present and Young-Sook lives in the past. One phone call connects the two, and their lives are changed irrevocably.']",tt1051906,tt4972582,tt1228987,tt2776344,https://www.youtube.com/embed/hxkKeniT-0Q,https://Trailers.to/player/embed/imdb/tt10530176
98,tt0084777,Ténèbres,Horror,22425,1982.0,101.0,7.1,https://m.media-amazon.com/images/M/MV5BOTRmNGQ5NTAtNGEzYS00Mjk5LThiZDQtOTk4YTEzNTE1MGZkXkEyXkFqcGdeQXVyNjc1NTYyMjg@.jpg,['Italy'],An American writer in Rome is stalked and harassed by a serial killer who is murdering everyone associated with his work on his latest book,tt0088993,tt0089175,tt0085407,tt0089885,https://www.youtube.com/embed/0cBIf4ExM7U,https://Trailers.to/player/embed/imdb/tt0084777
99,tt0109592,Dellamorte Dellamore,Comedy,20957,1994.0,105.0,7.1,https://m.media-amazon.com/images/M/MV5BMmFlMDBmNzEtM2QxNS00MzUyLTk1YTAtZTQ3ODM5YThlOTFhXkEyXkFqcGdeQXVyMTQxNzMzNDI@.jpg,"['Italy', 'France', 'Germany']",A cemetery man must kill the dead a second time when they become zombies,tt0116365,tt0100814,tt0113409,tt0178868,https://www.youtube.com/embed/ub-4NfFBlpo,https://Trailers.to/player/embed/imdb/tt0109592
100,tt1632547,Cold Fish,Crime,12418,2010.0,146.0,7.1,https://m.media-amazon.com/images/M/MV5BMTQ2NjY3NzU1NV5BMl5BanBnXkFtZTcwODA5MjgxNg@@.jpg,['Japan'],"The lives of a bored suburban couple are changed forever when a seemingly nice old man gives their daughter a job at his fish store, and soon his gruesome hobbies are brought to light",tt0762073,tt8772262,tt2494362,tt5606664,https://www.youtube.com/embed/ieTAZUXrBD0,https://Trailers.to/player/embed/imdb/tt1632547
101,tt0084899,Le chien blanc,Drama,9423,1982.0,90.0,7.1,https://m.media-amazon.com/images/M/MV5BNzY1YjJhNTctZDczMi00MjNkLWIyYzAtODA5OWRmMzkxNzIxXkEyXkFqcGdeQXVyMjUyNDk2ODc@.jpg,['United States'],A trainer attempts to retrain a vicious dog that's been raised to attack black people.,tt0091419,tt0086541,tt0084777,tt0088993,https://www.youtube.com/embed/CSvWzZXVDY0,https://Trailers.to/player/embed/imdb/tt0084899
